,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,traitor,"Olivia Rodrigo",61091,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
58,"Me Fije","Alex Rose",61054,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
59,"La Nota","Manuel Turizo",60271,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
60,Polvo,"Nicky Jam",59090,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
61,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",58865,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
62,"Una Locura",Ozuna,58571,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
63,Aloha,Maluma,58217,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
64,BEBÉ,Camilo,57021,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
65,"favorite crime","Olivia Rodrigo",56299,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
66,"Kiss Me More (feat. SZA)","Doja Cat",56284,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
67,Confiesalo,"Maria Becerra",55855,https://open.spotify.com/track/1jtkP2Vj67mcBTXJgIOZsW
68,"Chica Ideal","Sebastian Yatra",55575,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
69,"Tinty Nasty",L-Gante,55459,https://open.spotify.com/track/1e0NatUVfOD9xRgeXSedrl
70,"Chico Estrella",Duki,55449,https://open.spotify.com/track/1XadOBWghF0LhMuXI4GJ6M
71,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,54094,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
72,"Tú Me Dejaste De Querer","C. Tangana",54026,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
73,"Tan Enamorados",CNCO,53787,https://open.spotify.com/track/1yc7ERfIzFxPP1E0OFRvp0
74,Hawái,Maluma,53127,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
75,happier,"Olivia Rodrigo",53008,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
76,"Perreito Salvaje",Emilia,51200,https://open.spotify.com/track/4hs52wFSucGnS5dYryIZ4F
77,BICHOTA,"KAROL G",50165,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
78,"Tattoo - Remix with Camilo","Rauw Alejandro",49591,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
79,"Watermelon Sugar","Harry Styles",49503,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
80,"El Mismo Aire","La K'onga",49410,https://open.spotify.com/track/7onMf0QvWgRba2MRxG27yj
81,"Leave The Door Open","Bruno Mars",49207,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
82,"Don't Start Now","Dua Lipa",48873,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
83,Saturno,"Pablo Alborán",48820,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
84,brutal,"Olivia Rodrigo",47994,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
85,TURRA,Cazzu,47914,https://open.spotify.com/track/4w3R0drhPCc7zeO2OtBV8r
86,Pistola,L-Gante,47369,https://open.spotify.com/track/2OEVXCvrzJfpZaIPwsR99i
87,"Ya No Te Extraño","j mena",46924,https://open.spotify.com/track/4WVtuJcQR2kknWhzQxjLr1
88,"Blinding Lights","The Weeknd",46780,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
89,"High (Remix)","Maria Becerra",46063,https://open.spotify.com/track/2HpbDdD3JLpAPMJFYCeC6o
90,"Vida de Rico",Camilo,44804,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
91,"Fan de Tus Fotos","Nicky Jam",44684,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
92,Millones,Camilo,44108,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq
93,Dynamite,BTS,43707,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
94,"jealousy, jealousy","Olivia Rodrigo",43387,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
95,"Me Gusta","Ciro y los Persas",42369,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf
96,"Butter (Hotter Remix)",BTS,41809,https://open.spotify.com/track/38ZffdGref7ax4nX1JUDYT
97,"TE MUDASTE","Bad Bunny",41637,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
98,"De Cora <3","Rauw Alejandro",41577,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
99,"Si Te Veo",Arcangel,40970,https://open.spotify.com/track/2TmT3wSwRf0CYJFGGaIXNB
100,"Mi Niña",Wisin,40550,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
101,"Nunca quise",Intoxicados,40546,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy
102,"Travesuras - Remix","Nio Garcia",40436,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
103,Wao,Sech,39974,https://open.spotify.com/track/2B4nQ6yvVVBMqfgOrYtubb
104,"Parce (feat. Justin Quiles)",Maluma,39936,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
105,"Botella Tras Botella","Gera MX",39835,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
106,"Canción Bonita","Carlos Vives",39770,https://open.spotify.com/track/5iF33sXejXwfTuidVHMll0
107,"Fragancia (with Jay Wheeler)",Juhn,39307,https://open.spotify.com/track/3YNolHalg56UrvPabqw6JP
